intro,score,title
"Greg Peters, a Netflix veteran who works with telecom providers and consumer electronics makers around the world, will replace Neil Hunt in July",0,"Neil Hunt, architect of Netflixs streaming service, leaves after 18 years"
"Tom Moore, a satellite veteran recruited in August, is being replaced by Alastair Westgarth",0,Googles Project Loon loses CEO after about six months
"Oil ministry grants a licence to BP Plc to set up 3,500 petrol pumps in India",0,BP Plc gets licence to set up petrol pumps in India
"Unless loan disbursals pick up, the near-collapse of credit growth spells doom for  future earnings, especially when banks turf is threatened by bond market and new players",0,Beware of banking in December quarter as the numbers could lie
"Toshiba plans to withdraw from its lead role in projects to build nuclear plants in Britain and India, marking a retreat as it wrestles with an imminent multi-billion dollar writedown",0,"Toshiba seeks exit from UK, India in nuclear retreat: report"
Satya Nadella cautioned Microsoft and competitors about parlour tricks that show artificial intelligences power without preserving workers dignity,0,Microsofts Satya Nadella warns against hubris amid AI growth
"GST Council wants the tax incidence and price of cigarettes to stay at current levels, hence the jump in ITC shares despite the news of cess on demerit goods",1,Why the cap on cess puffed up ITC shares
"Crompton Greaves on Wednesday inked an agreement for the sale of its international power business for 115 million, which has brought a ray of hope for investors in the beleaguered firm
",0,Crompton: succour from sale of ailing overseas business
Southeast Asias largest economy has been trying to cap its coal output in an attempt to preserve resources for future generations of Indonesians,1,"Coals recovery too good to resist for Indonesia, the worlds biggest exporter"
"Qatar Petroleums project in North Field will have a capacity of 2 billion cubic feet per day, or 400,000 barrels of oil equivalent, and should start production in five to seven years",0,Qatar to drill in biggest gas field after 12-year freeze
"Emirates will reduce capacity to Boston, Los Angeles, Seattle, Orlando and Fort Lauderdale in the coming weeks",0,Emirates trims US flights after Trump administration curbs
"Trigger for renegotiating a port concession pact to address stress facing a cargo contract should be erosion of net worth by 50% and two years of cash losses
",0,National Shipping Boards formula for renegotiating port contracts flawed
The public sector banks continued to be the worst performers with bad loans doubling from a year ago and private banks were the winners after making reasonable profits,0,"Banking: the weak, the vulnerable and the winners"
How a slum dweller became a computer expert at a multinational with an NGOs  help,0,The making of an IT guy
Mismatch in valuation by Avantha Group and JK Paper is being blamed for stalled talks,0,Avantha Group likely to rebuff JK Papers bid for two factories
"ITCs net profit grew 5.7% over the previous year to Rs2,646.73 crore; Sanjiv Puris appointment as CEO will be effective 5 February",1,ITC net profit beats estimates; Sanjiv Puri to take over as CEO
Facebooks third quarter sales rose to $7.01 billion compared to analysts average estimate of $6.92 billion,1,"Facebook third quarter sales grows 56%, courtesy Instagram video ads"
"Indias Internet industry is expected to double by 2020 from todays $125 billion, growing to 7.5% of GDP",0,Indias Internet industry to double by 2020: report
"The sectors debt is at monumental levels, but the government seems to be least bothered about its financial health and is treating it as a golden goose
",0,Are telecom firms the govts golden goose?
"Raju Narisetti will be responsible for managing all business and editorial operations of Gizmodo Media Group, which was earlier known as Gawker Media 
",0,Raju Narisetti appointed CEO of Gizmodo Media Group
"If AT&T follow through with Time Warner purchase, its debt may balloon to levels that would put it at risk of a downgrade as the firm already has over $120 billion of debt outstanding",0,AT&T -Time Warner deal could roil $8 trillion debt market
"Nasscom president R. Chandrashekhar says US, Australia visa curbs are operational concerns for Indian IT companies and the industry will soon overcome them",1,"Nasscom hopes to overcome US, Australia visa curbs"
Hugo Barra says he will officially leave Xiaomi after Lunar New Year which runs until 2 February and take time off before embarking on a new role,0,"Hugo Barra, Xiaomis global VP, leaves phonemaker to return to Silicon Valley "
"At his penultimate Tata Sons board meeting as chairman, Cyrus Mistry raised the issue, the documents show",1,Cyrus Mistry was trying to get Siva group to pay share of DoCoMo award
ICICI Bank has been advised to open up UPI  transactions made through Flipkarts PhonePe wallet immediately,0,NPCI asks ICICI Bank to stop blocking PhonePe transactions
"Omans Bank Muscat, Woori Bank of South Korea and Indias UCO Bank are establishing a presence in Tehran, central bank vice governor Peyman Ghorbani said",0,Uco Bank among 3 foreign banks planning to open in Iran
"Post-monsoon trends in sales and freight rates would be key to chart out the earnings trajectory for truck makers such as Ashok Leyland, Tata Motors
",0,Truck sales hit a roadblock; a temporary blip?
The feature will allow users to find the nearest merchant to load cash on to their Paytm wallets,0,Paytm starts new product feature Nearby on its platform
"Brent crude, the international benchmark for oil prices, was up 27 cents at $54.19 a barrel by 3.45pm after closing down 2.8% in the previous session",0,Oil prices rise from one-week low as IEA says oil market tightening
"Companies like Apple and Google, led by Tim Cook and Sundar Pichai, seek far fewer H1Bs, while Indian IT firms such as TCS and Infosys dominate H1B visa issuance",1,Why Donald Trumps H1B visa order hurts Sikka but helps Cook 
"The appointment of DN Prahlad, a relative of NR Narayana Murthy, seems to suggest that the founder promoters finally have their man on the Infosys board",0,DN Prahlads appointment to Infosys board makes some shareholders uneasy
"The lawsuit comes two weeks after a US court  gave his final approval to Wolkswagens$14.7 billion settlement covering 480,000 diesel cars with 2.0-litre engines",0,Volkswagen accused of concealing emissions cheating in Audi petrol cars
Danish stereo and speaker system maker Bang and Olufsen set up its first flagship store selling its home and recreational range of productsat Delhis Emporio mall ,0,Bang and Olufsen plans 8-10 stores in India this fiscal 
ReNew Power will use the proceeds from the ADB investment to develop and expand capacities of 709MW across its pan-India operations ,0,ReNew Power secures $390 million debt funding from ADB
"Dentsu Aegis Network, a global digital marketing firm, acquires Indian marketing services group SVG Media in an all-cash deal",0,Dentsu Aegis acquires SVG Media in all-cash deal
Credit Suisse report says PSU banks are likely to see a 5-15% and private banks 1-2% impact on quarterly results due to new RBI rules on bad loans and provisions,0,"New RBI rules on provisioning, bad loans seen taking a toll on banks"
"RIL plea comes following a Central govt notification that the Reliance Gas brand to restrict its own marketing of domestically produced LPG to 10,000 tonnes per month",0,RIL seeks removal of LPG cap 
RBI data shows that there has been a surge in counterfeit currency notes of Rs100 denomination in the last four years,0,Why Rs100 currency notes need a redesign
Venture Intelligence data shows exit value (actual cash realized) was higher than the investment value,1,Investor interest in microfinance institutions at an all-time high in 2016
US FDA  reports incomplete laboratory records among potential manufacturing violations during an inspection of Sun Pharmaceuticals Dadra unit this month,0,US FDA inspection of Sun Pharmas Dadra unit finds incomplete lab records
"Of the total holding of 74.58% in Nalco, the government is selling 5% or over 9.66 crore shares at a floor price of Rs67",1,Nalco shares fall over 7% amid OFS
Govt is going the extra mile to facilitate tie-ups among the major players to ensure that investments flow into the 67 small oil and gas blocks on offer in an auction,1,Govt pitches for tie-ups among energy players
City gas distributors had delivered for the half year ended September; but they are expected to suffer the adverse consequences of demonetization on CNG demand ,0,What to expect from gas firms for the December quarter
Dell Inc. CFO Thomas Sweet claims that the Dell-EMC combine in India is growing faster than the domestic IT market growth,1,Dell on track to hit the $3 billion revenue mark in India: CFO Thomas Sweet
"In 2013, Nokia bought 50% of its network activities from Germanys Siemens",0,Nokia reports 766 million loss in 2016 
Mint takes a look at some of the key financial indicators of these general insurance firms and how they perform vis-à-vis some of their private sector peers,0,A financial health check of state-run insurers to be listed
Edelweiss Special Opportunities Fund II comes at a time when a host of other firms in the alternative investment space are in the market to raise credit-focused funds,1,Edelweiss raises $350 million for credit-focused fund
"Overall electricity generation in the December quarter was up 5.3%, only slightly better than the 4.4% rise in the year ago quarter",0,Power utilities: eye on key milestones helped investors overcome subdued Q3
"The average selling price of the Apples handsets in December may show customers settling for  older iPhone 6S models, rather than the iPhone 7",0,"Apples iPhone sales set to rebound, but for how long?"
"United Bank of Indias net interest income, or the core income a bank earns by giving loans, rose 68.45% to Rs608.09 crore in from Rs360.98 crore last year",1,United Bank of India posts net profit of Rs64.10 crore in Q3
"The acquisition of TechProcess, an electronic payment company, which owns Billjunction, will support the strategy of Ingenico Group in India",0,Frances Ingenico Group buys Billjunction parent TechProcess
"Donald Trumps protectionist stand and H1B visa reform bill carry a message for India that the game has changed, and we better recognize this quickly, writes Ravi Venkatesan",0,The message from H1B visa reforms
"Together with the ETF proceeds, government has garnered Rs30,000 crore from PSU disinvestment this fiscal",0,"Retail investors to get nearly half of Rs6,000 crore CPSE ETF"
Federal of German Consumer Organizations argue WhatsApp collects and stores data in part illegally and passes them on to Facebook,0,German consumer group files data suit against WhatsApp
"KEC International is seeing large tenders opening in Malaysia, Indonesia and Thailand, while operations in Mexico are turning around
",0,Diversification comes in handy for KEC International
"SoftBank is forming a new fund to put as much as $100 billion in the global technology industry in the next five years, partnering with Saudi Arabias public investment fund",0,SoftBank CEO Masayoshi Son aims to be biggest tech investor with Saudi deal
"A lower fiscal deficit target, drop in retail inflation augur well, but RBIs monetary policy committee will keep an eye out for global cues",0,An RBI rate cut at next weeks monetary policy review isnt a given
"Volkswagen sold a record 10.3 million vehicles in 2016, outpacing its rival Toyota with a 3.8% gain from a year earlier",0,Volkswagen takes global sales crown from Toyota amid diesel crisis
Daburs profit dipped to Rs294.49 crore in the three months to December from Rs317.79 crore a year ago.,0,"Demonetisation hits Dabur India, Q3 net down 7.3%"
The USCIS has issued guidelines making it harder for companies to bring foreign tech workers to the US using the H-1B visa programme. Here are the implications of the guidelines,0,H1-B visa: What the USCIS guidelines mean for tech workers and companies
Vishal Sikka stressed the importance of automation in New Year message to Infosys employees,0,Vishal Sikka tells Infosys employees road ahead not easy
"ICICI Banks gross bad loans ballooned to Rs37,716. 73 crore at the end of December, rising 17.21% from the quarter ago",0,"ICICI Bank Q3 profit falls 19% to Rs2,441.82 crore as bad loans rise"
"Yahoo has a deal to sell its core internet business, which includes its digital advertising, email and media assets, to Verizon for $4.83 billion",0,"Yahoo to be named Altaba, CEO Marissa Mayer to quit board after Verizon deal"
Brent crude futures were up 77 cents at $56.63 per barrel at 3.50pm,0,"Oil prices rise on weaker dollar, Saudis commitment to cut output"
"As of 30 September, the number of point of sale devices, which accepted debit and credit cards as modes of payments at merchant outlets, was only 1.49 million",1,Cashless future is a long way off despite big surge in e-payments
"Changes ushered in by artificial intelligence will help the companies that embrace them and put up barriers for those who dont, says Amazon CEO Jeff Bezos",1,Jeff Bezos says artificial intelligence to fuel Amazons success
"WhatsApp, Gmail  will have to guarantee the confidentiality of their customers conversations and ask for their consent before tracking them online to serve them personalised ads",0,"WhatsApp, Gmail roped into tougher EU privacy proposal"
"McDonalds is looking to technology, such as touch screens and mobile ordering, to help fuel sales",1,McDonalds all-day breakfast push no longer fueling sales growth
"SunEdison looks to exit its business in India by selling 1.7 GW of wind and solar farms to Greenko Energies, says report",0,SunEdison said to exit India with sale of projects to Greenko
"The total number of cyber crimes reported in 2013 was 41,319, which rose to 49,455 in 2015",0,Big spike in cybercrimes
"Matthieu Riou, founder and chief technology officer of BlockCypher Inc., shared his thoughts on cryptocurrencies and blockchains",0,Blockchain is going to permeate our lives: Matthieu Riou
"HDFC Bank reported a net profit of Rs3,990.1 crore for March quarter, an 18.3% increase from the previous year, against a tepid 15% rise in the December quarter",1,HDFC Bank defies a challenging environment
"For instance, Donald Trump may repeal Obamacare and this can impact growth for the Indian IT sector",0,Indian IT sector faces risks beyond visas from Donald Trump
"A divided board will have wider ramifications for Tata group firms,  says IiAS, a proxy advisory firm, in a report titled Tata Group: Game of Thrones",0,Boards of listed Tata firms could become dysfunctional: IiAS
"Growth may have fallen off the cliff, but investors are clearly not seeing this as the end of the world",0,Investors shrug off IT sector doomsday predictions
"India Cementss total income was up 19.21% to Rs1,270.95 crore during the third quarter as against Rs1,066.13 crore in the year-ago period",1,India Cements Q3 profit rises 11-fold to Rs35.34 crore
"Aditya Puri has transformed HDFC Bank from a start-up into one of the worlds highest-quality banks, generating eye-popping returns, says  Barrons",1,HDFC Bank MD Aditya Puri features in Barrons 30 best CEOs list
"The proposed deal between Sanjeev Guptas Liberty House and Lakshmi N. Mittals ArcelorMittal includes a 5,40,000-tonne a year electric arc furnace and 6,80,000-tonne a year rod mill",1,Sanjeev Guptas Liberty House to acquire ArcelorMittals US unit
Pawan Kumar Ruia has been charged with cheating among other criminal offences,0,Pawan Ruia arrested by West Bengal CID over complaint by Indian Railways
Canara Banks net profit increased to Rs321.88 crore compared with Rs84.97 crore a year ago,1,Canara Bank posts fourfold increase in Q3 net profit
Grand Theft Auto is one of the simulation platforms researchers increasingly rely on to test and train the machines being primed to take control of driverless cars,1,Driverless cars are learning from Grand Theft Auto
Rising instances of discoms unplugging generating capacity from grid and delaying signing of PPAs ,0,Renewable energy firms worry about back-down by power discoms
Elon Musk says his latest company Neuralink is working to link the human brain with a machine interface by creating micron-sized devices,0,Elon Musk plans to link human brains with computers in 4 years: report
"Saudi Arabia, the worlds top oil exporter, has told some of its Asian customers that it will reduce their crude supplies slightly in February",0,Oil prices rise as Saudi Arabia tells Asian customers of output cuts
Arnab Goswami claims he has been served a legal notice by Times Group against using the nation wants to know phrase on his Republic TV venture,0,Times Group serves Arnab Goswami notice on using nation wants to know 
"Net fixed assets created by corporate sector expanded in the last two six-monthly periods, with capital work-in-progress also showing positive traction
",1,March quarter numbers show mild capex bounce
"Rajshree Sugars and Chemicals CMD Rajshree Pathy on growth of the India Design Forum, which she founded, and how to establish design thinking in India",0,Why cant we do more with more in India?: Rajshree Pathy
"Ostro Energy will acquire 49% stake in Prathamesh Solarfarms Ltd, a special purpose vehicle set up by Suzlon for executing the project",1,Suzlon sells 49% in 50 MW solar project to Ostro Energy 
"At the Mint conference on the Bankruptcy Act, industry professionals, law professionals and stressed asset consultants discuss opportunities and challenges",0,Measuring the impact of the Bankruptcy Act
"The next two quarters are better for the unitary cooling products division, given that the demonetisation effect will wear off as the peak season for AC sales picks up",1,Voltas profit tops forecast as project business surprises positively
The delay underscores the threat from financially strapped state power retailers to Prime Minister Narendra Modis ambitious renewable energy goals,0,Biggest Indian solar project stalls as Jharkhand balks at cost
Bitcoin Unlimited and Segregated Witness  are locked in row over how to scale up bitcoin to handle more transactions which may split the cryptocurrency,0,Bitcoins existential crisis
"This year, INSIGHT: The DNA of Success programme, led by Sadhguru Jaggi Vasudev , will take place from 24 to 27 November",1,"A different perspective on leadership, success"
Carnival Cinemas will use the money to refinance some of its existing loans and expansion into new markets,0,Carnival Cinemas in early talks with Edelweiss to raise Rs400-460 crore in debt
Here is the full text of  the first bi-monthly monetary policy statement of RBIs Monetary Policy Committee,0,Full text of RBIs monetary policy statement
"Glenmark sales, aided by strong growth in the US, increased by a healthy 16.5% but net profit grew just 3.5% and missed analysts estimates ",1,Glenmark: steering financial deleverage through new products
"Definitive action against Vijay Mallya will prove whether or not we are failed once again by the political class
",0,"Vijay Mallya, you cant have your cake and eat it too"
Netflix reports first-quarter user gains that fell short of estimates because there wasnt a House of Cards-style hit to draw new viewers and retain others,1,Netflix trades user growth for profits with no House of Cards
"Banks will remain open on coming Saturday and Sunday  to deal with the rush of people expected to exchange currency notes of Rs500 and Rs1,000 denominations ",0,Banks to remain open on weekend for exchanging high-value rupee notes
"Mphasis revenues declined 5.3% year-on-year (y-o-y) in dollar terms to $224.1 million, faring worse than the June quarter, when revenues had declined by 4.1%",0,Mphasis continues to struggle for growth
United Spirits Q3 profit jumps on the back of lower finance costs and exceptional expense in the corresponding period last year,1,United Spirits Q3 profit jumps over threefold to Rs148 crore
"Minoru Kato, who replaces Keita Muramatsu as HMSIs CEO from 1 April, has 29 years of experience working at Honda Motor s",0,Honda Motorcycle names Minoru Kato as India President and CEO
"Vivek Bhaskaran, CEO of  QuestionPro , drives an imported auto-rickshaw in San Francisco . Its a great conversation starter",1,Indian techie on autorickshaw cruise control in San Francisco 
Microsoft India chairman Bhaskar Pramanik on the companys strategy and vision for digital transformation,0,"Analytics is now built into everything we do, says Microsoft India chairman"
"A slowdown in the Royal Enfield business can put pressure on the stock valuations, unless the CV business measures up on profitability
",1,Eichers strong show fails to impress
"Proxy advisory firms have projected that small shareholders stand to gain anything from Rs94-125 a share, on top of the delisting price of Rs262 a share",1,Will Rosneft deal benefit Essar Oil shareholders?
Sebi said that funds meant for United Spirits were diverted to Kingfisher Airlines and other UB group companies,1,Sebi restrains Vijay Mallya from trading in securities markets
"The most important thing is to be completely different from the GermansAudi, BMW and Mercedes-Benz, says President Yoshihiro Sawa on Lexus India launch day",0,Lexus has to be very unique to survive in India: President Yoshihiro Sawa
"Wipros organic growth in constant currency fell to around 2% in the December quarter, and is expected to fall further to around 1% in the March quarter",0,Will Wipro soon post negative growth?
A Chinese investment in a non-US company would sail through political opposition more easily than other tie-ups,0,Toshibas woes should have Chinese licking their lips
Labour minister Bandaru Dattatreya says EPFO is developing online claims settlement process by receiving applications online which will be integrated with the UMANG App ,0,EPF claims can be settled through mobile phone soon: Bandaru Dattatreya 
"Reliance Industries consolidated net profit is likely to increase to Rs7,282.5 crore on a revenue of Rs63,669.9 crore for the three months ended 30 September",1,RIL Q2 profit to ride on petchem margins
"The September quarter results got a different reception from the June quarter results, with the share rising sharply
",1,United Spirits investors raise a toast to Q2 results
"Fortis Healthcare consolidated total income from operations stood at Rs 1,133.38 crore for the third quarter, compared with Rs1,026.52 crore in the year-ago period",1,Fortis Healthcare Q3 profit at Rs 453.29 crore
"With one of the two most anticipated initial share sales out of the way, what can investors expect from listing of InterGlobe Aviation Ltd
",0,"With Coffee Days poor debut, whats in store for the IndiGo listing?"
"The service Clear checks travellers identities with a fingerprint or iris scan, eliminating the boarding pass and identity checks,  letting  them proceed directly to bag screening",0,Airport curb to cabin in a flash of your eye
Samsung says that the discontinuation of the Galaxy Note 7 would cost the company about $3 billion during the current and next quarters,0,Samsung Galaxy Note 7 recall to cost at least $5.3 billion
"Mark Zuckerberg says the US should remain open for refugees and not target people who dont pose a threat, such as undocumented immigrants who came with their parents at a young age",0,Facebooks Zuckerberg concerned by Donald Trump immigration moves
"The threat for Samsung is how soon they can get back after Note 7  issue . If they dont get back soon, it provides a vacuum for others to creep in, says a brand strategist ",0,Samsung brand mystique at risk after death of Note 7 smartphone
"Sales from Coffee Day Enterprisess coffee and related businesses segment rose 12.54% to Rs415.33 crore in December quarter, revenue rose 13% to Rs763.32 crore ",1,Coffee Day Enterprises Q3 net profit jumps 146% to Rs12.34 crore
"Facebooks tips to spot fake news include looking closely at website addresses to see if they are trying to spoof real news sites, and checking websites about sections ",0,Facebook launches resource to help spot misleading news
"However, power, oil and gas, pharmaceuticals, IT and electronics and infrastructure will have a positive impact from demonetisation, Assochams Bizcon Survey said",0,"Demonetisation has negative impact on jobs, SMEs, says Assocham survey"
IIT Bombay professor Shivaram Kalyanakrishnan urges people to be more optimistic about the things artificial intelligence can do,1,AI is the desire to replicate intelligence in machines: Shivaram Kalyanakrishnan
"RBI will keep the repurchase rate at 6.25% on Thursday, according to all 52 economists in a Bloomberg survey; 42 of 44 see the cash reserve ratio held at 4%",0,RBI monetary policy guide: Cash tools in focus as rates unchanged
"With global growth not rosy, and the Middle East, a key market for Indian capital goods makers, battling low oil prices, there is no confidence foreign orders will save the day
",0,Capital goods: Investment hurdle ahead for industry
Wilful defaulter Vijay Mallya claims that he is being made a pawn in a political game between the ruling BJP-led NDA and the Congress-led UPA ,0,"Vijay Mallya slams CBI, ED on Twitter for hounding him on trumped-up charges"
"Most analysts had estimated its gross refining margins to be $9.5-10 per barrel; on the contrary, RILs margins in the June quarter came in at $11.5 per barrel
",0,Reliance Industries: Relying on refining margins
"Coal Indias third quarter total income rises to Rs21,531.2 crore from Rs20,928.4 crore in the year-ago period",1,"Coal India Q3 profit falls 22% to Rs2,884 crore"
"Saudi Aramco shows interest in buying a stake in west coast refinery project, wherein Indian Oil holds a 50% stake, while BPCL and HPCL have 25% each ",1,"Saudi Aramco keen to take stake in west coast refinery, says oil minister"
Vineet Gupta will take over as the group chief executive of DDB Mudra Group and Aditya Kanthy will be appointed as the groups managing director,0,Madhukar Kamath announces retirement from DDB Mudra Group
"At 6.38 billion, Vodafones impairment charge this time around looks fairly high, at more than double the previous one",1,"Vodafone sees sluggish growth, thanks to Reliance Jio"
"Pretax profit fell 49% to £813 million from £1.4 billion a year earlier, Rolls-Royce said in a statement ",1,"Rolls-Royce profit beats estimates on cost cuts, Airbus boost"
"Idea Cellular has walked out of the deal, and while Videocon has found another buyer in Bharti Airtel, valuations have come crashing down
",1,Airtels spectrum deal good for all except Videocon
"Price realizations in the data segment fell by as high as 17% year-on-year
",0,Telecom | Data a drag rather than a money-spinner
"India just won a tidy $860 million surprise present, for which the countrys taxpayers and government owe a vote of thanks to Vedanta Resources
",0,Vedanta misery is Indias gain in metals payout bonanza: Gadfly
"With a market capitalisation of Rs22,043.18 crore, RBL Bank has replaced IDFC Bank to enter the most valuable banks list",1,RBL Bank now among Indias 10 most valuable banks 
GSKs net profit fell to Rs136.41 crore in the quarter ended 31 December from Rs148.68 crore a year earlier,0,GSK Q3 profit drops 8.25% due to note ban 
"Mswipe, the maker of mobile PoS devices to enable digital transactions, has appointed investment bank Avendus Capital to help it raise funds",0,Mswipe in talks to raise up to $40 million
"The label, which has three retail stores across Delhi and Bengaluru, is set to launch a fourth one next week",1,Lenskart to expand premium segment presence through new John Jacobs stores 
"Home-based solar systems or local energy units built with solar panels, batteries and computers will give rise to a new energy infrastructure that will become mainstream",1,Renewables: the future is here
Income tax department asks financial institutions to get self-certification from account holders by 30 April to comply with FATCA provision and avoid blocking of accounts,0,CBDT asks financial institutions to get accounts self-certified by 30 April
"Mahindra saw a 7% decline in the companys revenue from the automotive segmentits largest line of businessto Rs7,453.08 crore",0,"Mahindra Q3 profit rises 33% to Rs1,112 crore"
"With pricing pressures likely to continue for some more time, aviation stocks may find it difficult to take off in the interim",0,Aviation stocks: Turbulent journey in the December quarter
Speculation about Jorge Paulo Lemanns plan to buy Mondelez with Warren Buffett spurred an immediate pop in the Kraft Heinzs shares,0,Warren Buffetts go-to billionaire dealmaker has Wall Street on edge
"Mention a pharma companys name, USFDA and observations in the same breath and investors dont wait to ask questions
",0,USFDA observations sell trigger for pharma investors
"GD Pharma MD Debashis Dutta on Borolines brand equity, market dynamics, and how the firms strength lies in its products and people",0,"Our thrust will be on expanding Boroline, Suthols retail penetration: Debashis Dutta"
Accenture identifies five emerging technology trends that are essential to business success to power digital economy,1,"Accenture report forecasts technology for people, by people"
Jet Airways passengers travelling between India and the US can connect through London Heathrow on to nine US destinations operated by Virgin Atlantic,1,Jet Airways and Virgin Atlantic expand codeshare agreement
"As computer programming moves into the Artificially Intelligent world, new methods of checking for the quality and integrity of computer coding capabilities are needed",1,Quality in the age of quantum computing
Cognizant CEO Francisco DSouza said it was found that  certain members of senior management may have been aware of or participated in the matters under investigation,0,Cognizant finds improper payments of $5 million made in India
"Wockhardts net sales declined 13.4% to Rs1,064.69 crore from Rs1,229.59 crore a year ago",1,Wockhardt Q2 profit falls 81.6% to Rs17.02 crore
"Competition from other suitors, growth opportunities on offer are likely reasons why Rosneft is paying a premium for Essar Oil and its assets",1,Why has Rosneft paid a packet for Essar Oil?
"Recapitalization from the government appears woefully inadequate for banks under its declared plan. Raising money from the market is an option, but who will subscribe
",0,Bad loan hunting
"Investment demand is fine as far as FDI and government expenditure are concerned, says Manishi Raychaudhuri, head of Asia (ex-Japan), equity strategy at BNP Paribas Securities
",1,India relatively a safer and easier story than China: Manishi Raychaudhuri
"With operating performance being mediocre, the moot question is how will the margins pan out in future, especially given the increase in raw material costs
",0,Dull show by Bajaj Auto as exports go downhill
Reliance Communications says William (Bill) Barney and Gurdeep Singh will take over responsibilities and function as co-CEOs with immediate effect,0,Reliance Communications CEO Vinod Sawhny steps down
"The price increase, from 1 January 2017, will be 13% for Microsofts enterprise software and 22% for its enterprise cloud services",0,"Microsoft to increase UK prices of enterprise products, citing falling pound"
"Delhi has emerged as the top state in terms of overall Internet readiness including e-infrastructure and e-participation, overtaking last years winner Maharashtra, a report says",1,Delhi tops among states in Internet readiness: report
"Sensitive technologies, dependency on multiple authorities for clearances and delays mean revenue could continue to be lumpy
",0,"Bharat Electronics: long on orders, short on earnings visibility"
BSE plans to operationalize the international exchange by early next year,1,Sebi grants in-principle approval to BSE for global exchange at GIFT city
NSE chairman Ashok Chawla says the bourses share sale is likely to happen in the beginning of the April-June quarter after it hires a new managing director ,0,NSE will list only after allegations of unfair access are resolved: Ashok Chawla
"RBI  says banks exposure to REITs/InvITs will be within the overall ceiling of 20% of the net worth permitted for direct investments in shares, convertible bonds/ debentures, VCFs",0,"RBI caps bank exposure to REITs, InvITs at 10%"
"Net sales from operations fell to Rs1,135.60 crore during the quarter from Rs1,151.06 crore a year earlier",1,GSK Consumer Healthcare Q2 net profit falls 17% to Rs183.72 crore
"According to chief executive officer, Vedanta, Tom Albanese, improved operating performance and working capital initiatives have led to maximisation of free cash flow during the quarter",1,"Vedantas September quarter net profit grows 17.1% to Rs1,251 crore"
Stocks of city gas distributors such as IGL and MGL are being re-rated on account of better volume growth outlook and margin improvement,1,Gas stocks offer reason to cheer
Private equity firm Kedaaras formal fund-raising process is expected to begin by the middle of next year,0,Kedaara plans to raise $600 mn for new fund
"Net sales of Cipla rose 8.7% to Rs3,671.89 crore in the quarter on the back of higher growth in the domestic market as well as in the US",1,Cipla profit falls 34.7% to Rs354.34 crore
"Google , Salesforce.com  reportedly are the two top contenders to make a formal takeover offer to Twitter soon
",0,Theres a strange logic to an illogical Twitter takeover
Fitch Ratings says implementation of RBIs PCA is only likely to be effective if it is matched by credible plans to address banks significant asset quality issues ,1,RBIs PCA norm for greater regulatory action on banks: Fitch
"Jeff Bezos has leapt past Amancio Ortega and Warren Buffett to become the worlds second-richest person, according to the Bloomberg Billionaires Index",1,Jeff Bezos becomes worlds second richest person with Amazon share  surge
Delhi court slams Vijay Mallya for deliberately not wanting to return to India even though he could obtain an emergency travel document after his passport was revoked,0,Vijay Mallya issued non-bailable warrant by Delhi Court
"The government would also raise the cash withdrawal limit of at least three-month old current accounts to Rs50,000 per week ",0,Micro cash machines to be deployed increase supply of bank notes: Govt 
Samsungs move comes as it looks to expand in high-end car audio and connected automobiles sector,1,Samsung Electronics agrees to buy Harman for $8 billion in cash
"Rate of natural gas produced from existing fields of ONGC and RIL has been cut to $2.48 per mmBtu for a six-month period from 1 April, from $2.5 per mmBtu currently",0,Natural gas price cut marginally to $2.48 mmBtu
"Robert Tercek, futurist and author of the book Vaporized, talks about how digital technology pushes us towards a software-defined society",0,No industry is immune from vaporization: Robert Tercek
"What will work in favour of IL&FS Transportation is strong revenue traction as projects are due to get commissioned, easing cash flows over next 12 months
",0,IL&FS Transportation: is there a silver lining to the cloud of debt?
"US-based firm Lone Star Funds files ARC application with RBI, eyeing the massive bad loan-related opportunity in India",0,Lone Star Funds firms up India ARC plans
"Former Infosys CFO Rajiv Bansal asks for arbitration for settlement of his Rs17.38 crore severance pay, which hadnt gone down well with Infosys founders",0,Infosys ex-CFO Rajiv Bansal seeks arbitration for severance pay: report
Wall Street bank shares have rallied since the election on speculation that Donald Trumps policies will accelerate economic growth and drive higher interest rates,1,Bankers in Davos see Donald Trump making Wall Street great again
"The move comes six months after Ruchir Modi, son of former IPL chairman Lalit Modi, was appointed additional director of Godfrey Phillips India
",0,Godfrey Phillips appoints Ruchir Modi non-executive director
"Irrespective of the level of activity in the domestic economy, the earnings numbers can move in a different fashion, says Kotak Institutional Equitiess Sanjeev Prasad",1,"Indian market expensive currently, value in corporate banks, IT: Sanjeev Prasad"
Shree Cement says it will set up a grinding unit in Sri Ganganagar district of Rajasthan with a capacity of 3.6 million tonnes per annum (MTPA) with an initial plan to set up a blending unit,1,Shree Cement Q2 net profit up 19% to Rs292 crore
"SBI Card has started charging Rs100 for payment through cheque if the amount is up to Rs2,000 and anything above will attract no fee",0,SBI Card starts charging Rs100 on small payments via cheque
"Pfizer net sales rose to Rs552.08 crore for the July- September quarter, compared with Rs525.04 crore during the same period of previous fiscal",1,Pfizer Q2 profit up 52% at Rs126 crore
"Opec and other producers, including Russia, agreed in December to pump less oil in an effort to counter a global glut",1,Major oil producers reach agreement to extend output cuts
